name,description,accords.cítrico,accords.aromático,accords.fresco especiado,accords.amaderado,accords.lavanda,accords.fresco,calificationNumbers.ratingValue,calificationNumbers.bestRating,calificationNumbers.ratingCount,piramidFragrance.salida,piramidFragrance.corazon,piramidFragrance.base,piramidFragrance.ingredientes,accords.terrosos,accords.Floral amarillo,accords.dulce,accords.cálido especiado,accords.ozónico,accords.verde,accords.floral blanco,accords.almizclado,accords.atalcado,accords.nardos,accords.iris,accords.florales,accords.violeta,accords.rosas,accords.herbal,accords.especiado suave,accords.cuero,accords.ámbar,accords.afrutados,accords.pachulí,accords.avainillado,accords.almendrado,accords.anís,accords.nueces,accords.marino,accords.animálico,accords.salado,accords.balsámico,accords.acuático,accords.amielado,accords.oud,accords.ahumado,accords.cacao,accords.café,accords.metálico,accords.tabaco,accords.canela,accords.acerezado,accords.chocolate,accords.musgoso,accords.tropical,accords.lactónico,accords.alcanforados,accords.Whisky,accords.ron,accords.coco,accords.caramelo,accords.aldehídico,accords.jabonoso,accords.conífera,accords.mineral,accords.cera de abeja,accords.amargo,accords.champán,accords.alcohol,accords.vodka,accords.cannabis,accords.arena,accords.Vino,accords.coca-cola,accords.pegamento industrial,accords.cinta scotch,accords.arcilla,accords.asfalto,accords.vinyl,accords.Pear,accords.terpénico,accords.pelota de tenis,PerfumeURL,calificationText.MeEncanta,calificationText.MeGusta,calificationText.MeEsIndiferente,calificationText.NoMeGusta,calificationText.LaOdio,timeSeasons.Invierno,timeSeasons.Primavera,timeSeasons.Verano,timeSeasons.Otoño,timeDay.Dia,timeDay.Noche,longevity.escasa,longevity.débil,longevity.moderada,longevity.duradera,longevity.muy_duradera,sillage.suave,sillage.moderada,sillage.pesada,sillage.enorme,gender.femenino,gender.unisex_femenino,gender.unisex,gender.unisex_masculino,gender.masculino,price.extremadamente_costoso,price.ligeramente_costoso,price.precio_moderado,price.buen_precio,price.excelente_precio
Acqua di Parma Colonia Acqua di Parma para Hombres y Mujeres,Acqua di Parma Colonia de Acqua di Parma es una fragancia de la familia olfativa Cítrica para Hombres y Mujeres. Acqua di Parma Colonia se lanzó en 1916.,100,85.05122204,71.82721392,65.94622789,62.96883624,56.21773784,4.16,5,3413,,,,"['cítricos sicilianos', 'lavanda', 'romero', 'cedrón (hierba luisa, verbena de olor)', 'almizcle blanco', 'vetiver', 'rosa de Bulgaria (rosa Damascena de Bulgaria)', 'jazmín', 'sándalo', 'pachulí', 'ámbar']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-1681.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acqua di Parma Colonia Assoluta Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Colonia Assoluta de Acqua di Parma es una fragancia de la familia olfativa Cítrica Aromática para Hombres y Mujeres. Acqua di Parma Colonia Assoluta se lanzó en 2003. Acqua di Parma Colonia Assoluta fue creada por Bertrand Duchaufour y Jean-Claude Ellena. Las Notas de Salida son naranja amarga, bergamota, cedrón (hierba luisa, verbena de olor) y naranja dulce; las Notas de Corazón son ylang-ylang, vetiver, jazmín, cedro, pimienta rosa, cardamomo y pimentón dulce (paprika); las Notas de Fondo son musgo de roble, resinas, almizcle blanco y pachulí.",100,53.45147891,47.28647539,66.1757576,,,4.22,5,1162,"['naranja amarga', 'bergamota', 'cedrón (hierba luisa, verbena de olor)', 'naranja dulce']","['ylang-ylang', 'vetiver', 'jazmín', 'cedro', 'pimienta rosa', 'cardamomo', 'pimentón dulce (paprika)']","['musgo de roble', 'resinas', 'almizcle blanco', 'pachulí']",,49.00878698,46.20842314,45.81415148,45.28218272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Assoluta-1682.html,100,93.4334,7.12946,20.6379,0.562852,11.8393,79.4926,96.6173,30.6554,100,23.2558,29,64,238,81,25,98,276,109,78,3,3,54,71,30,6,36,70,26,3
Acqua di Parma Colonia Pura Acqua di Parma para Hombres y Mujeres,"Acqua di Parma Colonia Pura de Acqua di Parma es una fragancia de la familia olfativa Cítrica Aromática para Hombres y Mujeres. Acqua di Parma Colonia Pura se lanzó en 2017. La Nariz detrás de esta fragrancia es François Demachy. Las Notas de Salida son notas ozónicas, bergamota, naranja y petit grain; las Notas de Corazón son narciso, jazmín sambac (sampaguita) y cilantro; las Notas de Fondo son almizcle blanco, cedro y pachulí.",100,64.63822195,55.89476122,52.18819406,,,4.01,5,1286,"['notas ozónicas', 'bergamota', 'naranja', 'petit grain']","['narciso', 'jazmín sambac (sampaguita)', 'cilantro']","['almizcle blanco', 'cedro', 'pachulí']",,,48.39099818,,,70.29514857,53.69940949,53.47983748,52.08503942,46.40232414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Colonia-Pura-45876.html,91.3669,100,26.4388,27.1583,2.69784,9.47666,85.0071,100,23.0552,94.2008,17.256,46,107,430,106,18,194,471,74,64,10,14,227,224,120,29,129,269,73,19
Acqua di Parma Gelsomino Nobile Acqua di Parma para Mujeres,"Acqua di Parma Gelsomino Nobile de Acqua di Parma es una fragancia de la familia olfativa Almizcle Floral Amaderado para Mujeres. Acqua di Parma Gelsomino Nobile se lanzó en 2011. Acqua di Parma Gelsomino Nobile fue creada por Michel Almairac y François Demachy. Las Notas de Salida son mandarina y pimienta rosa; las Notas de Corazón son jazmín, nardos y flor de azahar del naranjo; las Notas de Fondo son almizcle y cedro.",51.02600334,,,,,,4.09,5,899,"['mandarina', 'pimienta rosa']","['jazmín', 'nardos', 'flor de azahar del naranjo']","['almizcle', 'cedro']",,,,,,,,100,,,51.47193217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Gelsomino-Nobile-12921.html,80.5164,100,5.86854,25.5869,0.938967,19.9288,90.3915,70.4626,40.2135,100,27.0463,12,35,113,62,18,45,147,76,53,71,9,5,1,0,2,20,34,9,1
Acqua di Parma Iris Nobile Acqua di Parma para Mujeres,"Acqua di Parma Iris Nobile de Acqua di Parma es una fragancia de la familia olfativa Almizcle Floral Amaderado para Mujeres. Acqua di Parma Iris Nobile se lanzó en 2006. Acqua di Parma Iris Nobile fue creada por Francoise Caron y Francis Kurkdjian. Las Notas de Salida son iris, anís estrellado, bergamota, mandarina y naranja; las Notas de Corazón son nardos, flor de azahar del naranjo, mimosa, ylang-ylang, hibisco (flor de Jamaica, cayena) y cedro; las Notas de Fondo son vainilla y ámbar.",84.8460111,,,60.25988973,,,4.01,5,1898,"['iris', 'anís estrellado', 'bergamota', 'mandarina', 'naranja']","['nardos', 'flor de azahar del naranjo', 'mimosa', 'ylang-ylang', 'hibisco (flor de Jamaica, cayena)', 'cedro']","['vainilla', 'ámbar']",,,82.9868137,70.08609461,,,,100,,93.17961208,75.95283978,79.0916796,67.4787217,54.54615206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Iris-Nobile-1564.html,85.6971,100,8.77404,35.9375,0.600962,39.3004,96.5021,51.0288,67.6955,100,44.0329,17,53,198,168,78,76,288,175,120,125,36,17,2,2,11,35,84,19,1
Acqua di Parma Magnolia Nobile Acqua di Parma para Mujeres,"Acqua di Parma Magnolia Nobile de Acqua di Parma es una fragancia de la familia olfativa Floral Frutal para Mujeres. Acqua di Parma Magnolia Nobile se lanzó en 2009. La Nariz detrás de esta fragrancia es Antoine Maisondieu. Las Notas de Salida son cidra, limón (lima ácida) y bergamota; las Notas de Corazón son magnolia, jazmín, nardos y rosa; las Notas de Fondo son vetiver, sándalo, vainilla y pachulí.",100,46.74660841,,46.42906269,,,4.13,5,2453,"['cidra', 'limón (lima ácida)', 'bergamota']","['magnolia', 'jazmín', 'nardos', 'rosa']","['vetiver', 'sándalo', 'vainilla', 'pachulí']",,,,,,,,52.53776446,,,,,70.17340114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Magnolia-Nobile-6483.html,79.6667,100,11,19.1667,1.66667,20.6406,94.1874,79.2408,38.79,100,25.86,36,86,336,257,76,133,491,222,132,325,91,36,2,3,30,122,187,32,7
Acqua di Parma Profumo Acqua di Parma para Mujeres,"Acqua di Parma Profumo de Acqua di Parma es una fragancia de la familia olfativa Floral para Mujeres. Acqua di Parma Profumo se lanzó en 1930. Las Notas de Salida son ylang-ylang, peonía y bergamota; las Notas de Corazón son rosa de Bulgaria (rosa Damascena de Bulgaria), jazmín y ládano; las Notas de Fondo son vetiver, sándalo, pachulí y almizcle.",,49.18971722,,100,,,4.28,5,269,"['ylang-ylang', 'peonía', 'bergamota']","['rosa de Bulgaria (rosa Damascena de Bulgaria)', 'jazmín', 'ládano']","['vetiver', 'sándalo', 'pachulí', 'almizcle']",,48.10330763,86.72411311,60.89645244,,,,81.89669237,47.37919452,46.65508141,,,74.65508141,,89.741491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Acqua-di-Parma-Profumo-1683.html,100,80.1471,2.20588,18.3824,0.735294,46.0317,57.1429,26.9841,100,84.127,77.7778,7,9,14,24,9,13,25,30,33,8,0,5,0,0,3,4,4,0,0
Colonia C.L.U.B. Acqua di Parma para Hombres,"Colonia C.L.U.B. de Acqua di Parma es una fragancia de la familia olfativa Amaderada Especiada para Hombres. Esta fragrancia es nueva. Colonia C.L.U.B. se lanzó en 2022. Las Notas de Salida son bergamota, limón (lima ácida), pimienta rosa y pimienta negra; las Notas de Corazón son shiso (menta púrpura) y romero; las Notas de Fondo son almizcle y cedro.",83.13999726,100,96.37678835,62.31899508,,,4,5,448,"['bergamota', 'limón (lima ácida)', 'pimienta rosa', 'pimienta negra']","['shiso (menta púrpura)', 'romero']","['almizcle', 'cedro']",,,,,,,56.85990839,,53.91293273,45.84531857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Colonia-C-L-U-B-72707.html,100,72.0165,34.5679,17.284,8.23045,16.6667,93.3962,100,45.283,93.3962,31.4465,12,53,262,59,8,61,282,30,3,5,2,52,184,176,23,128,161,54,7
Colonia Futura Acqua di Parma para Hombres y Mujeres,"Colonia Futura de Acqua di Parma es una fragancia de la familia olfativa Cítrica Aromática para Hombres y Mujeres. Colonia Futura se lanzó en 2020. Las Notas de Salida son limón (lima ácida), bergamota, toronja (pomelo) y pimienta rosa; las Notas de Corazón son lavanda y salvia; la Nota de Fondo es vetiver.",100,95.67407472,54.36096771,53.86424884,51.48232566,,3.83,5,672,"['limón (lima ácida)', 'bergamota', 'toronja (pomelo)', 'pimienta rosa']","['lavanda', 'salvia']",['vetiver'],,48.41320325,,,,,,,,,,,,,,50.75164056,50.70754222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Colonia-Futura-62332.html,88.8476,100,44.6097,28.2528,10.7807,15.2174,96.1957,100,53.8043,95.1087,26.6304,29,73,245,58,6,88,274,38,22,5,2,86,136,190,23,99,162,55,18
Colonia Intensa Acqua di Parma para Hombres,"Colonia Intensa de Acqua di Parma es una fragancia de la familia olfativa Amaderada para Hombres. Colonia Intensa se lanzó en 2007. Colonia Intensa fue creada por Alberto Morillas y François Demachy. Las Notas de Salida son bergamota de Calabria, jengibre, cardamomo y limón siciliano (lima siciliana); las Notas de Corazón son neroli, abrótano y mirto; las Notas de Fondo son cuero, cedro, benjuí, almizcle y pachulí.",100,73.71610564,57.40931087,59.89997998,,49.21532267,4.25,5,2034,"['bergamota de Calabria', 'jengibre', 'cardamomo', 'limón siciliano (lima siciliana)']","['neroli', 'abrótano', 'mirto']","['cuero', 'cedro', 'benjuí', 'almizcle', 'pachulí']",,,,,95.57869144,,,,,,,,,,,48.05817527,,52.15063638,46.92822578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fragrantica.es/perfume/Acqua-di-Parma/Colonia-Intensa-1684.html,100,76.8492,13.0644,15.2738,1.05668,18.75,94.6573,96.0685,55.2419,100,37.2984,63,157,553,297,37,235,722,183,99,7,1,112,250,381,25,140,352,125,22
